AcresBurned,lat,long
257314,37.857,-120.086
30274,34.585595,-118.423176
27531,33.7095,-116.72885
27440,39.12,-120.65
22992,37.279,-119.318
20292,33.86157,-116.90427
14754,41.32,-123.176
12503,41.035,-123.488
11429,40.04263,-121.85397
8073,40.498332,-122.535496
7055,32.95435,-116.47381
6965,40.190062,-121.595555
4346,34.7861,-118.9411
4346,34.7861,-118.9411
3505,38.8167,-122.8498
3166,34.288877,-116.941311
3111,37.90757,-121.882582
2781,33.12111,-116.52579
2462,39.446268,-121.38236
2236,33.341,-117.3092
2060,36.208,-118.444
1984,34.55048,-119.82429
1708,37.58202,-119.91071
1383,33.62236,-117.40288
1271,33.04458,-116.5209
1070,38.25108,-120.02778
794,35.707,-118.588
712,34.882,-118.9194
712,34.49149,-118.610044
612,34.90327,-118.93388
572,38.774,-120.298
534,34.071556,-117.048397
513,40.00842,-120.764666
510,33.894055,-116.855019
502,41.2415,-121.035
500,35.15832,-120.05131
492,37.96866,-121.91453
482,37.015575,-119.78106
413,34.302,-117.598
406,36.602575,-118.01651
376,38.628,-122.289
354,37.160346,-120.937494
305,39.439,-121.497
303,38.04993,-120.90325
298,39.434183,-121.576804
274,39.90465,-121.74367
274,37.116295,-119.635004
268,34.149,-117.908
263,32.710918,-116.746023
243,34.35,-117.62
240,37.775057,-121.737213
237,38.729297,-121.380862
217,39.514139,-122.560862
200,34.2,-117.417
200,40.012398,-122.079871
196,40.5445,-121.3754
195,39.961309,-122.330879
190,38.382,-122.311
170,34.611824,-120.074655
163,38.67479,-122.08725
163,38.63987,-121.08438
163,38.63987,-121.08438
159,38.34599,-122.6503
158,38.17693,-122.51253
150,33.990128,-117.164997
150,37.436,-121.1955
150,36.7218,-119.2248
149,34.419284,-118.58688
134,36.258,-118.459
125,38.638828,-122.655616
124,38.08744,-122.13802
124,37.03776,-121.006939
124,33.963591,-117.187934
120,38.882214,-122.567525
116,38.682378,-120.839075
110,34.287,-117.451
108,36.772425,-119.628389
105,36.1531,-120.8973
100,37.91529,-120.33313
100,32.564465,-116.900368
98,38.9252,-122.966
97,41.73325,-120.375
97,33.642,-116.706
97,40.88886,-120.958126
96,38.27783,-120.966016
94,35.4393,-120.8358
92,39.6612,-121.50354
91,37.1927,-119.7917
90,33.9582,-116.6534
85,35.62743,-120.83417
82,39.0442,-123.1478
80,39.731878,-121.713938
75,34.316,-117.352
75,37.169379,-119.75636
75,34.1834,-117.4408
75,38.441792,-122.350844
73,34.003151,-117.106075
73,39.206,-121.31634
70,39.013682,-122.491894
68,41.569,-120.959
64,34.384,-119.13249
60,38.838,-116.61
60,33.91027,-116.99895
52,39.333401,-121.107022
51,35.457978,-120.751555
50,39.0448,-122.7656
50,41.923323,-122.578393
50,37.1438,-121.7804
50,37.7393,-121.5869
50,35.5123,-120.6368
46,38.06231,-120.45233
46,37.03087,-119.463757
45,38.980846,-123.067671
43,40.373,-122.7338
42,33.96936,-117.1265
41,37.667295,-122.427285
40,37.342186,-121.717706
40,33.7655,-117.6649
40,33.570291,-116.10815
40,33.9634,-117.2508
40,34.001745,-117.302057
40,33.655638,-116.161201
38,38.89555,-120.84716
38,39.1591,-122.5906
38,37.74241,-121.86216
35,36.763367,-119.558244
35,35.49864,-120.91375
33,40.483662,-122.140914
31,37.965364,-120.696362
30,38.9777,-122.683
30,38.99233,-122.703193
30,34.288877,-116.941311
28,38.4229,-122.0437
28,38.4229,-122.0437
28,38.4229,-122.0437
28,38.4229,-122.0437
27,40.473356,-122.48259
25,32.612773,-116.707335
25,38.98058,-122.81796
25,33.96201,-116.907213
23,38.9289,-122.5818
15,33.94528,-117.09306
0,41.333,-123.376
0,33.99647,-116.84137
97717,38.805437,-120.629714
39736,40.901,-121.368
35302,42.048,-122.345
32416,40.72,-121.562
13153,41.1336,-121.2144
12661,40.4314,-122.750788
6488,38.512,-122.104
6258,41.141,-122.805
5503,41.682,-122.127
5367,33.3529,-117.284889
4300,38.664,-122.454
4300,38.664,-122.454
4240,38.5691,-120.7819
4240,38.5691,-120.7819
4045,35.7206,-118.4747
3895,35.70683,-118.555527
2143,34.169346,-117.547374
1995,33.1137,-117.1599
1952,34.1703,-117.8816
1680,35.642,-118.15
1651,41.89,-120.79
1548,33.003,-117.133
1469,41.489,-120.904
1457,33.417572,-117.550567
1375,40.7101,-122.171
968,33.748,-117.601
865,40.134597,-121.790183
632,34.609,-120.454
612,37.3433,-119.6581
600,33.1109,-117.279
580,40.7412,-122.946
516,41.42384,-122.37432
487,37.76617,-120.45087
400,36.6313,-121.4819
380,33.312,-117.162
333,40.884415,-123.773779
320,37.311915,-119.604124
311,37,-40.34
274,34.267,-117.867
269,37.787,-120.452
247,39.113682,-120.999508
225,40.009827,-122.345078
217,33.078948,-116.576454
210,41.134,-123.753
190,34.235,-117.771
175,39.1647,-122.5983
143,40.6569,-122.2215
130,37.7103,-120.197
125,32.81,-116.49
113,37.399,-118.352
106,36.8266,-119.3415
101,41.507,-121.266
94,38.59,-120.028
85,38.058,-120.66
84,39.3918,-120.0805
80,37.5359,-121.5118
75,40.5719,-121.3415
75,36.103,-121.117
72,39.4664,-121.6129
70,37.8316,-120.3434
57,33.5982,-116.1985
50,40.39,-122.721
48,33.93869,-117.70643
47,35.8218,-121.0226
40,36.991825,-119.525506
38,39.1871,-121.2687
30,38.608336,-120.703238
29,32.665,-116.222
27,38.695961,-122.384054
25,40,-29.24
25,36.742747,-119.241493
20,38.9195001,-120.1140659
20,32.59154,-116.89516
15,40.41,-123.24
10,37,-18.4
0,41.796,-123.374
151623,36.874,-118.905
69438,38.8863538,-122.4762475
31359,34.16027778,-116.8927778
25118,38.8142503,-122.4867319
25118,38.8142503,-122.4867319
10570,40.938,-120.105
6980,36.24,-118.54
5702,37.279722,-119.50014
4863,41.399,-121.392
4250,34.339,-117.478
